R编号,event_id,行类型,阶段(原表),六阶段(6.2),学生发言,AI可见回复,透镜标签,"标签归属
← 人工复核",归属置信,归属初判依据,"卡片调用
card_id","卡片调用
触发来源","卡片调用
学生目标","卡片调用
卡片输出","卡片调用
下游产物",发起方,发起方依据,脚手架密度,反馈处置,备注 / 风险标记
236,E104,交互轮,横向阅读：不是先问钱,2 资料/文献,我有点不想点，因为它看起来像批评气候怀疑论的网站。,你的犹豫是好的。打开也可以，但你要同时记录它的立场和证据来源。,SIFT · Trace,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
237,E105,交互轮,横向阅读：不是先问钱,2 资料/文献,我打开 DeSmog：https://www.desmog.com/center-study-carbon-dioxide-and-global-change/。,现在只看它怎么介绍这个机构、有没有给资料来源。不要直接复制它的标签。,SIFT · Trace,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
238,E106,交互轮,横向阅读：不是先问钱,2 资料/文献,它上面有 Background、Stance、Funding 这些栏目。,先按页面顺序看它怎么介绍这个组织，暂时不要直接复制任何标签。,SIFT · Trace,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
239,E106,内部批注,横向阅读：不是先问钱,2 资料/文献,Background里把这个机构和Craig Idso联系起来。这个和我前面在Staff看到的名字对上了。,很好，这是横向阅读的一个确认点：官网人员和外部介绍能对应上。,SIFT · Trace,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
240,E107,交互轮,横向阅读：不是先问钱,2 资料/文献,Stance部分好像说它对CO2影响有固定观点。,先不要直接接受它的评价。记录为“DeSmog describes the group as...”，而不是“事实就是...”。,SIFT · Trace,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
241,E108,内部批注,横向阅读：第一次看到公司名,2 资料/文献,我继续往下看，Funding Overview里第一次看到 Exxon Mobil 这个名字。,这才是自然出现的节点。你要记清楚：这个公司名不是你一开始搜的，是在外部介绍页里读到的。,利益相关方,学生执行,高,Exxon 名称由学生在阅读中读到,,,,,,材料触发,,低,—,"Exxon 名称首次出现在 DeSmog Funding Overview,非学生预设检索"
242,E109,交互轮,横向阅读：第一次看到公司名,2 资料/文献,我有点惊讶。我本来只是想知道这个网站是谁，没想到看到这个。因为这个Exxon Mobil是石油巨头,这个反应很真实。现在如果继续追这个名字，就是跟随材料线索，而不是带着答案搜索。,利益相关方,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
243,E110,交互轮,横向阅读：第一次看到公司名,2 资料/文献,Funding Overview里有金额，但我不知道它的数据从哪里来的。,不要急着抄金额。先看它有没有说明来源，比如数据库、税表、引用链接。金额如果口径不同，就不要写成精确结论。,利益相关方,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
244,E111,交互轮,横向阅读：第一次看到公司名,2 资料/文献,原来它背后是石油公司。,先别这么写。你现在能稳写的是：外部资料把它和化石燃料资金网络联系起来，但这需要限定来源和口径。,利益相关方,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,引导·AI提示,R243,中,—,同轮透镜标签:利益相关方
245,E112,交互轮,横向阅读：第一次看到公司名,2 资料/文献,我是不是应该回到官网，看它自己有没有解释捐赠者？,这一步现在就自然了，因为外部页面提到了资金。你可以回官网找 donation、contributor、funding 之类信息。,利益相关方,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,引导·AI提示,R244,中,—,同轮透镜标签:利益相关方
246,E112,内部批注,横向阅读：第一次看到公司名,2 资料/文献,我在官网里找到一个问答页：https://www.co2science.org/subject/questions/1999/morefunding.php。,这个页面现在很有用：它是网站自己对资金透明度问题的回应。,利益相关方,学生执行·AI先示范,中,学生执行；前一轮 R245 的 AI 已提示该动作,,,,,,引导·AI提示,R244,中,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
247,E113,交互轮,横向阅读：第一次看到公司名,2 资料/文献,这个问答里有人问是不是煤炭公司和电力行业资助，它回答说有些donors要求匿名，所以不披露contributors身份。,这只能证明它不公开捐赠者身份。它不能单独证明某一笔资金，也不能自动证明页面内容是假。,利益相关方,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
248,E113,内部批注,横向阅读：第一次看到公司名,2 资料/文献,所以这条证据不是“它被谁控制”，而是“不透明”？,对。写“不透明”比写“被控制”稳很多。,利益相关方,学生执行·AI先示范,中,学生执行；前一轮 R247 的 AI 已提示该动作,,,,,,引导·AI提示,R247,中,—,"AI 已说明""只能证明不透明,不能证明被控制"""
249,E114,内部批注,追踪已出现线索,2 资料/文献,现在我可以搜 CO2Science Exxon 吗？因为这个名字已经在DeSmog页面里出现了。,可以。现在这是追踪已出现线索，不是你一开始就知道答案。,,,,,,,,,,自发,,低,—,
250,E115,内部批注,追踪已出现线索,2 资料/文献,我搜：CO2Science Exxon。,在搜索日志里写清楚：after seeing Exxon Mobil in DeSmog Funding Overview。,,,,,,,,,,自发,,低,—,
251,E116,交互轮,追踪已出现线索,2 资料/文献,搜索结果里有 Greenpeace 的页面。,可以打开，但先标注它是环保倡议组织。它能提供线索，但不是中立学术来源。,,,,,,,,,,自发,,低,—,
252,E117,交互轮,追踪已出现线索,2 资料/文献,我打开 Greenpeace：https://www.greenpeace.org/usa/climate/climate-deniers/front-groups/center-for-the-study-of-carbon-dioxide-and-global-change/。,记录为第二个外部线索。注意它可能和DeSmog共享资料链，不能算两个完全独立的一手证据。,,,,,,,,,,自发,,低,—,
253,E118,交互轮,追踪已出现线索,2 资料/文献,Greenpeace也提到类似的资金关联，还提到其他能源公司。,可以记，但不要写成最终事实。最好写：advocacy sources report fossil-fuel funding links。,,,,,,,,,,引导·AI提示,R252,中,—,
254,E119,交互轮,追踪已出现线索,2 资料/文献,我现在更确定不能把co2science直接当科学证据了。,这个判断可以，但理由要完整：不是因为“我不喜欢它”，而是因为它是二手评论网站、议题取向明显、资金透明度有限、外部资料有争议信息。,,,,,,,,,,引导·AI提示,R253,中,—,
255,E120,交互轮,追踪已出现线索,2 资料/文献,但它说CO2提高WUE这件事不一定就是假的，对吗？,对。来源背景不能自动推翻具体科学机制。你应该拆它的外推：即使某些植物水分效率提高，也不能推出气候变化整体有益。,,,,,,,,,,自发,,低,—,
256,E121,交互轮,追踪已出现线索,2 资料/文献,那我对它的最终处理是：只做反方入口，不做正文证据。,"非常稳。写成 counterclaim trigger, not evidence。",,,,,,,,,,自发,,低,采纳(无理由),自行给出 co2science 最终处理
257,E122,交互轮,转向更大的背景,2 资料/文献,因为刚刚看到这个公司名，我又搜：Exxon climate science projections。,注意，你现在已经进入另一个方向：公司气候科学史。这可能有价值，但很容易跑题。,,,,,,,,,,自发,,低,—,
258,E123,交互轮,转向更大的背景,2 资料/文献,我找到 Science 论文：https://www.science.org/doi/10.1126/science.abk0063。,这是高权威论文入口，但要先看你能不能打开。我这里测试Science DOI可能403/受限，所以不能写“我读了全文”。,,,,,,,,,,自发,,低,—,
259,E123,内部批注,转向更大的背景,2 资料/文献,题名是 Assessing ExxonMobil’s global warming projections。这个已经不是WUE了。,对，它研究的是公司过去的全球变暖预测。它和co2science页面不是同一件事，只是都属于更大的气候传播争议背景。,,,,,,,,,,自发,,低,—,
260,E124,交互轮,转向更大的背景,2 资料/文献,我还搜索到了一个 InsideClimateNews 专题：https://insideclimatenews.org/project/exxon-the-road-not-taken/。,这个页面可以打开。它是调查报道专题和内部文件入口，不是同行评议论文。,,,,,,,,,,自发,,低,—,
261,E125,交互轮,转向更大的背景,2 资料/文献,页面标题是 Exxon: The Road Not Taken，像是2015年的调查系列。,记录为调查报道系列。它适合研究公司气候史，不适合直接回答中国是否让地球更可持续。,,,,,,,,,,自发,,低,—,
262,E126,交互轮,转向更大的背景,2 资料/文献,里面还有Documents入口。我有点想点进去。,如果你真的读内部文件，才可能进入历史史料分析；但那会变成另一篇文章。,,,,,,,,,,引导·AI提示,R261,中,—,
263,E127,内部批注,退出兔子洞,2 资料/文献,我觉得很气愤，就是这些石油巨头们自己做网站到处宣传的手段有点过分，但是我现在感觉这条线已经离我要写的题目很远了。,是的。你原题的主轴还是中国的greening、年度CO2份额和气候影响。这个方向是反方来源生态和公司气候传播史。,,,,,,,,,,自发,,低,—,
264,E128,交互轮,退出兔子洞,2 资料/文献,那我不写正文，但保留在research log。,这样最好。它显示你追查过反方来源，但没有让兔子洞替代主问题。,,,,,,,,,,自发,,低,—,
265,E128,内部批注,退出兔子洞,2 资料/文献,我不是一开始查公司名，是在查这个网站是什么时，从外部介绍页里看到的。,这句很关键，能说明路径真实。,,,,,,,,,,自发,,低,—,
266,E128,内部批注,退出兔子洞,2 资料/文献,co2science状态：opened / checked / counterclaim trigger only。,可以，再加 not used as scientific evidence。,,,,,,,,,,自发,,低,—,
267,E129,交互轮,退出兔子洞,2 资料/文献,"DeSmog和Greenpeace状态：external leads, not final proof。",准确。它们帮你发现争议和资金线索，但不是正文核心证据。,,,,,,,,,,自发,,低,—,
268,E129,内部批注,退出兔子洞,2 资料/文献,"ICN状态：investigative series / document gateway, rabbit-hole only。",可以。以后如果单独研究公司气候史再回来。,,,,,,,,,,自发,,低,—,"动机化情绪出现(「很气愤…石油巨头」),但未落地正文 → 按2.4判其后的证据处理"
269,E129,内部批注,退出兔子洞,2 资料/文献,还有好多我可以查找的，但是目前我没有写这个网站一定是假的，也没有写某家公司控制它。回头有空了再看,很好。红线就是：不动机攻击、不假装已读、不把外部批评当最终证明、不让兔子洞替代主线。,,,,,,,,,,自发,,低,—,
270,E130,内部批注,修订与thesis,3 方法/RQ结构,我标的问题是：wrong causality; the example is not China-specific attribution evidence,这个诊断是对的。现在把它改成证据能支持的范围。,,,,,,,,,,自发,,低,—,
271,E131,内部批注,修订与thesis,3 方法/RQ结构,"我改成：The Bangladesh case shows why planetary sustainability should include human vulnerability, not only vegetation metrics.",这版更稳，claim和证据范围匹配。,,,,,,,,,,自发,,低,采纳(无理由),
272,E132,交互轮,修订与thesis,3 方法/RQ结构,"我先写了一个可能有问题的句子：CO2 helps plants, so emissions are not a problem.",先不要急着保留。我们看它的问题在哪里。,,,,,,,,,,自发,,低,—,
273,E132,内部批注,修订与thesis,3 方法/RQ结构,我标的问题是：overextends a narrow plant mechanism to system-level climate effects,这个诊断是对的。现在把它改成证据能支持的范围。,,,,,,,,,,自发,,低,—,
274,E133,内部批注,修订与thesis,3 方法/RQ结构,"我改成：Even if CO2 can benefit some plant processes, that does not settle whether emissions are harmless at system level.",这版更稳，claim和证据范围匹配。,,,,,,,,,,自发,,低,采纳(无理由),
275,E134,交互轮,修订与thesis,3 方法/RQ结构,我先写了一个可能有问题的句子：MEE reports prove China has achieved sustainability.,先不要急着保留。我们看它的问题在哪里。,,,,,,,,,,自发,,低,—,
276,E134,内部批注,修订与thesis,3 方法/RQ结构,"我标的问题是：official policy documents show commitments and reporting, not independent outcome proof",这个诊断是对的。现在把它改成证据能支持的范围。,,,,,,,,,,自发,,低,—,
277,E135,内部批注,修订与thesis,3 方法/RQ结构,我改成：MEE reports provide policy context that should be read alongside external outcome indicators.,这版更稳，claim和证据范围匹配。,,,,,,,,,,自发,,低,采纳(无理由),
278,E136,交互轮,修订与thesis,3 方法/RQ结构,"我先写最终thesis版本1：China has helped make the Earth greener, but this does not automatically mean more sustainable。",结论先不要二选一。把full yes、qualified yes、unclear、no的条件列出来。,To What Degree,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
279,E137,内部批注,修订与thesis,3 方法/RQ结构,"版本2：China has contributed to global greening, but emissions and human impacts make the sustainability claim limited。",更好。,,,,,,,,,,引导·AI提示,R278,中,—,
280,E138,内部批注,修订与thesis,3 方法/RQ结构,"版本3：China has contributed to one measurable dimension of sustainability, global greening, but the evidence supports only a qualified yes because emissions scale and climate impacts remain serious。",这版很扎实。,,,,,,,,,,自发,,低,—,
281,E139,交互轮,修订与thesis,3 方法/RQ结构,我有点担心qualified yes是不是太保守。,看证据，不看语气。你的正面证据强，但限制证据也强，所以qualified yes合理。,,,,,,,,,,自发,,低,—,
282,E140,交互轮,修订与thesis,3 方法/RQ结构,如果要写full yes，我还缺什么证据？,需要更多维度都支持，例如排放长期明显下降、生态质量提升、人类影响减少等。你目前没有这些。,,,,,,,,,,自发,,低,—,
283,E140,内部批注,修订与thesis,3 方法/RQ结构,那直接写no好像也不对，问题在哪里？,因为Nature给了强正面greening证据，完全no会忽视它。,,,,,,,,,,自发,,低,—,
284,E140,内部批注,修订与thesis,3 方法/RQ结构,所以最终落在qualified yes，不是因为折中，而是因为证据结构就是这样。,很好。,,,,,,,,,,自发,,低,—,
285,E141,交互轮,写作过程：开稿边界,4 产出与分析,现在我确定是qualified yes了，但我还没有真的写文章。我先不开全文，请你只检查写作计划，不替我写。,可以。你先给出段落顺序、每段功能和大概字数。我只检查功能和越界，不替你生成正文。,AI克制 · 边界,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,开稿前自设 AI 边界
286,E142,交互轮,写作过程：开稿边界,4 产出与分析,我先设总字数800词。大概intro 90，P1 greening 170，P2 emissions 170，P3 climate impacts 150，P4 counterclaim + policy 140，conclusion 80。,这个预算合理。P4内容很多，注意不要让co2science、Exxon和MEE挤爆一段。,,,,,,,,,,自发,,低,—,
287,E143,交互轮,写作过程：开稿边界,4 产出与分析,我给每段写功能，不写漂亮话：intro = define sustainability and state qualified yes。,清楚。intro不要塞来源细节。,,,,,,,,,,自发,,低,—,
288,E144,交互轮,写作过程：开稿边界,4 产出与分析,P1 = strongest positive evidence: China contributed to global net leaf-area increase。,对，P1负责“yes”的部分，但只能是greening dimension。,,,,,,,,,,自发,,低,—,
289,E144,内部批注,写作过程：开稿边界,4 产出与分析,P2 = limiting evidence: annual CO2 share and short-term IEA nuance。,对。P2不是否定P1，而是限制P1能推出的范围。,,,,,,,,,,自发,,低,—,
290,E145,交互轮,写作过程：开稿边界,4 产出与分析,"P3 = why emissions matter for sustainability, using video + World Bank as impact-side context。",这个说法比“人类脆弱性”更稳。它说明排放维度为什么不能忽略，不做中国归因。,主张追问,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
291,E146,交互轮,写作过程：开稿边界,4 产出与分析,"P4 = fair counterclaim: CO2 may benefit plant WUE, plus Chinese policy context if字数够。",可以，但P4要短。co2science是反方入口，MEE是政策语境，两者都不是核心结果证据。,,,,,,,,,,自发,,低,—,
292,E146,内部批注,写作过程：开稿边界,4 产出与分析,"Conclusion = no new source, no new claim, just answer extent。",很好。结论只收束，不扩张。,,,,,,,,,,自发,,低,—,
293,E146,内部批注,写作过程：开稿边界,4 产出与分析,"我先列不能写的词：prove sustainability, saved the Earth, solved emissions, China caused Bangladesh migration。",这张禁用词表很有用。它直接防止过度归因。,红线词表,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
294,E146,内部批注,写作过程：开稿边界,4 产出与分析,我也不能写The Economist says这些人是中国造成的，只能写视频帮助我看到为什么climate impacts要进入评价。,准确。这个边界后面P3必须守住。,,,,,,,,,,自发,,低,—,
295,E147,交互轮,写作过程：引言草稿,4 产出与分析,"我先写intro第一句草稿：At first glance, China seems to have made the Earth more sustainable because NASA reported that the planet is becoming greener.",这句有两个风险：第一，NASA不是说China alone；第二，“seems to have made”太快。你可以改成从“greenness is an intuitive but incomplete signal”开始。,主张追问,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
296,E148,交互轮,写作过程：引言草稿,4 产出与分析,"我改成：Greenness is one of the most visible signs people associate with environmental improvement, but it is not the same as sustainability.",这句稳。它先定义问题，而不是直接站队。,,,,,,,,,,引导·AI提示,R295,中,采纳(无理由),措辞由 AI 供给并全盘采纳(0 次带理由的拒绝)
297,E149,交互轮,写作过程：引言草稿,4 产出与分析,第二句我想接：This matters for China because a NASA-linked study reports a large Chinese contribution to global greening.,可以，但“NASA-linked study”有点模糊。你可以写“a Nature Sustainability study introduced by NASA”。,,,,,,,,,,自发,,低,—,
298,E150,交互轮,写作过程：引言草稿,4 产出与分析,我写：A Nature Sustainability study introduced by NASA reports that China contributed disproportionately to global net leaf-area increase.,可以。intro里不必放25%和6.6%，数字留到P1。,,,,,,,,,,引导·AI提示,R297,中,采纳(无理由),措辞由 AI 供给并全盘采纳(0 次带理由的拒绝)
299,E150,内部批注,写作过程：引言草稿,4 产出与分析,"我第三句写：However, sustainability also requires climate stability and human consequences, not only vegetation metrics.",很好。这里把后文的排放和影响维度预告出来。,,,,,,,,,,引导·AI提示,R297,中,—,
300,E151,交互轮,写作过程：引言草稿,4 产出与分析,"thesis草稿：Therefore, China has contributed to one measurable dimension of planetary sustainability, but the answer is only a qualified yes.",方向对，但要说明限制来自什么，不然qualified yes像口号。,,,,,,,,,,自发,,低,—,
301,E151,内部批注,写作过程：引言草稿,4 产出与分析,我补：because emissions scale and climate impacts keep the overall judgment limited.,可以。intro thesis成型。,,,,,,,,,,自发,,低,—,
302,E152,交互轮,写作过程：引言草稿,4 产出与分析,"intro v1：Greenness is one of the most visible signs people associate with environmental improvement, but it is not the same as sustainability. A Nature Sustainability study introduced by NASA reports that China contributed disproportionately to global net leaf-area increase. However, sustainability also requires climate stability and attention to human consequences, not only vegetation metrics. Therefore, China has contributed to one measurable dimension of planetary sustainability, but the answer is only a qualified yes because emissions scale and climate impacts keep the overall judgment limited.",功能完整。字数略长但可接受。后面如果超字数，可以删“one of the most visible”。,,,,,,,,,,自发,,低,—,
303,E152,内部批注,写作过程：引言草稿,4 产出与分析,我数了一下intro大概70多词，比预算少一点。,好，给后面证据段留空间。,,,,,,,,,,自发,,低,—,
304,E153,交互轮,写作过程：引言草稿,4 产出与分析,我检查intro没有公众号、没有视频、没有Exxon。,对，intro不要变成材料故事。,段落功能检查,学生执行,中,学生发言中含动作或判断,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
305,E154,交互轮,写作过程：P1 greening段,4 产出与分析,P1 topic sentence草稿：The strongest evidence for a positive answer comes from satellite-based greening data.,可以。下一句要马上接Nature数字，不要绕太久讲NASA。,,,,,,,,,,自发,,低,—,
306,E154,内部批注,写作过程：P1 greening段,4 产出与分析,我写证据句：The Nature study reports that China contributed 25% of the global net increase in leaf area while having only 6.6% of global vegetated area.,这句是P1承重句。保留net increase、leaf area、global vegetated area。,数据三问,学生执行·AI先示范,中,学生执行；前一轮 R305 的 AI 已提示该动作,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
307,E155,交互轮,写作过程：P1 greening段,4 产出与分析,我想写：This proves China made the Earth greener.,可以写“supports”，不要写“proves”。另外“the Earth greener”可以，但要接“in leaf-area terms”。,To What Degree,AI示范,中,学生未执行该动作，指令在本轮 AI 回复中,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
308,E156,内部批注,写作过程：P1 greening段,4 产出与分析,我改成：This supports a strong claim that China made an unusually large contribution to global greening in leaf-area terms.,这句稳。unusually large来自25% vs 6.6%的比较。,,,,,,,,,,自发,,低,采纳(无理由),
309,E157,交互轮,写作过程：P1 greening段,4 产出与分析,我想把NASA one-third也放进去，会不会重复？,如果放，必须写China and India together。正文800词里，NASA可以只作追源背景，不必再放一遍one-third。,,,,,,,,,,自发,,低,—,
310,E157,内部批注,写作过程：P1 greening段,4 产出与分析,那P1正文就不写NASA one-third，只在citation/source log保留NASA。,合理。正文把空间给中国单独数据。,,,,,,,,,,自发,,低,—,
311,E157,内部批注,写作过程：P1 greening段,4 产出与分析,我需要解释为什么25% vs 6.6%有意义。,对。这是warrant：贡献份额远高于植被面积份额，所以它不是普通比例变化。,论证解剖 / warrant,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
312,E157,内部批注,写作过程：P1 greening段,4 产出与分析,warrant句：The comparison matters because the contribution is much larger than China’s share of vegetated land.,可以。,,,,,,,,,,自发,,低,—,
313,E157,内部批注,写作过程：P1 greening段,4 产出与分析,"limit句：Yet leaf area is not the same as biodiversity, carbon neutrality, or ecosystem health.",很好。,,,,,,,,,,自发,,低,—,
314,E158,交互轮,写作过程：P1 greening段,4 产出与分析,我还要不要写croplands？,建议写一句短的：some greening may involve managed croplands。这样能防止把变绿等同自然恢复。,,,,,,,,,,自发,,低,—,
315,E159,交互轮,写作过程：P1 greening段,4 产出与分析,"我写：Some of this greening may also involve managed croplands, so it should not be romanticized as pure ecological restoration.",很好，但“romanticized”有点口语/价值色彩。可以改成“treated as”。,,,,,,,,,,引导·AI提示,R314,中,采纳(无理由),措辞由 AI 供给并全盘采纳(0 次带理由的拒绝)
316,E160,内部批注,写作过程：P1 greening段,4 产出与分析,"改成：Some of this greening may also involve managed croplands, so it should not be treated as pure ecological restoration.",准确。,,,,,,,,,,引导·AI提示,R315,中,采纳(无理由),措辞由 AI 供给并全盘采纳(0 次带理由的拒绝)
317,E161,交互轮,写作过程：P1 greening段,4 产出与分析,"P1 v1：The strongest evidence for a positive answer comes from satellite-based greening data. The Nature study reports that China contributed 25% of the global net increase in leaf area while having only 6.6% of global vegetated area. This comparison matters because the contribution is much larger than China’s share of vegetated land. It supports a strong claim that China made an unusually large contribution to global greening in leaf-area terms. Yet leaf area is not the same as biodiversity, carbon neutrality, or ecosystem health. Some greening may also involve managed croplands, so it should not be treated as pure ecological restoration.",P1结构完整：topic-evidence-warrant-limit。可稍微压缩，但逻辑很好。,,,,,,,,,,自发,,低,—,
318,E162,交互轮,写作过程：P1 greening段,4 产出与分析,我觉得P1里面strong出现两次，有点重复。,可以删一个。比如把“The strongest evidence”改成“A major positive line of evidence”。,,,,,,,,,,自发,,低,—,
319,E162,内部批注,写作过程：P1 greening段,4 产出与分析,P1改：A major positive line of evidence comes from satellite-based greening data.,可以。语气更稳。,,,,,,,,,,自发,,低,采纳(无理由),措辞由 AI 供给并全盘采纳(0 次带理由的拒绝)
320,E163,内部批注,写作过程：P2 emissions段,4 产出与分析,"P2 topic sentence：However, greening does not erase the climate pressure created by emissions.",很好。它说明P2限制P1，不是否定P1。,,,,,,,,,,自发,,低,—,
321,E164,交互轮,写作过程：P2 emissions段,4 产出与分析,"证据句：OWID’s chart, based on the Global Carbon Budget data chain, shows China at about 31.8% of annual global CO2 emissions in 2024.",这句要加annual和CO2，很好。可以写“around”或“about”。,数据三问,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
322,E165,交互轮,写作过程：P2 emissions段,4 产出与分析,我想写largest polluter，这样更有力。,不建议，除非你明确口径和比较对象。你的承重数据是annual global CO2 share，不是所有pollution。,,,,,,,,,,自发,,低,—,
323,E166,内部批注,写作过程：P2 emissions段,4 产出与分析,我改成major current emitter。,更准确。,,,,,,,,,,自发,,低,采纳(无理由),
324,E167,交互轮,写作过程：P2 emissions段,4 产出与分析,我需要写为什么31.8%不是反驳25%。,对，这是P2的关键。写成“does not disprove the greening evidence; it limits what that evidence can mean”。,数据三问,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,"学生自己指出""需要写为什么 31.8% 不是反驳 25%"""
325,E167,内部批注,写作过程：P2 emissions段,4 产出与分析,"句子：This does not disprove the greening evidence; rather, it limits what greening can mean for planetary sustainability.",很好。,,,,,,,,,,引导·AI提示,R324,中,—,AI 直接给出该句措辞
326,E168,交互轮,写作过程：P2 emissions段,4 产出与分析,IEA那条0.5%要不要写？,可以写一句nuance，但不能让它抢走31.8%的主限制。,,,,,,,,,,自发,,低,—,
327,E168,内部批注,写作过程：P2 emissions段,4 产出与分析,"我写：The IEA reports a small 2025 decline in China’s energy-related CO2 emissions, but this is a short-term and narrower indicator.",稳。保留2025、energy-related、short-term/narrower。,,,,,,,,,,自发,,低,采纳(无理由),
328,E169,交互轮,写作过程：P2 emissions段,4 产出与分析,我想接一句：so China is improving but still not sustainable。,“not sustainable”还是太大。改成“the improvement does not remove the emissions-scale limitation”。,,,,,,,,,,自发,,低,—,
329,E170,内部批注,写作过程：P2 emissions段,4 产出与分析,"改成：Therefore, the trend adds nuance but does not remove the emissions-scale limitation.",可以。,,,,,,,,,,引导·AI提示,R328,中,采纳(无理由),措辞由 AI 供给并全盘采纳(0 次带理由的拒绝)
330,E171,交互轮,写作过程：P2 emissions段,4 产出与分析,"P2 v1：However, greening does not erase the climate pressure created by emissions. OWID’s chart, based on the Global Carbon Budget data chain, shows China at about 31.8% of annual global CO2 emissions in 2024. This does not disprove the greening evidence; rather, it limits what greening can mean for planetary sustainability. The IEA reports a small 2025 decline in China’s energy-related CO2 emissions, but this is a short-term and narrower indicator. Therefore, the trend adds nuance but does not remove the emissions-scale limitation.",P2很清楚。注意如果正文引用需要说明OWID/GCB，而不是把OWID和ESSD当两条独立证据。,,,,,,,,,,自发,,低,—,
331,E172,交互轮,写作过程：P2 emissions段,4 产出与分析,我数了一下P2大概90词，比我预算短。,短不一定坏。P3和P4可能需要空间。,,,,,,,,,,引导·AI提示,R330,中,—,
332,E173,交互轮,写作过程：P2 emissions段,4 产出与分析,我检查：没有写cumulative responsibility，也没有写per capita。,对。你可以在limit里一句承认这些口径重要但不展开。,,,,,,,,,,引导·AI提示,R331,中,—,
333,E174,交互轮,写作过程：P2 emissions段,4 产出与分析,加一句会不会太多：This essay does not settle per-capita or historical responsibility.,可以，但如果字数紧，可以放脚注/source log，不一定进正文。,,,,,,,,,,自发,,低,—,
334,E175,内部批注,写作过程：P3 impacts段,4 产出与分析,P3最难。我不能让孟加拉看起来像中国造成的。,对。P3的功能不是归因，而是说明为什么排放维度对sustainability判断重要。,主张追问,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,透镜标签不构成引导（v3 修订）
335,E175,内部批注,写作过程：P3 impacts段,4 产出与分析,topic sentence：The reason emissions matter is that climate change is not only an atmospheric number but also a human-risk problem.,这句比“human vulnerability”自然，而且和排放维度相连。,,,,,,,,,,自发,,低,—,
336,E176,交互轮,写作过程：P3 impacts段,4 产出与分析,"我写视频句：The Economist video presented cases from Bangladesh, Guatemala and Fiji to show how warming is experienced through migration, farming stress and island-community risk.",可以，但别写成视频证明科学机制。写“presented”可以。,,,,,,,,,,自发,,低,—,
337,E176,内部批注,写作过程：P3 impacts段,4 产出与分析,我没有逐字字幕，所以不写quote。,对。只转述你自己的观看笔记。,,,,,,,,,,自发,,低,—,
338,E176,内部批注,写作过程：P3 impacts段,4 产出与分析,"World Bank句：I then used a World Bank Bangladesh page to check the migration background, including the risk that 13.3 million people may become internal migrants over the next 30 years.",很好。保留may、internal、next 30 years。,数据三问,学生执行,待复核,★ 自动判据不足，需人工确认归属,,,,,,自发,,低,—,"源表未记录触发来源(5.1要件缺失),按3.2保守记引导"
339,E176,内部批注,写作过程：P3 impacts段,4 产出与分析,这句会不会让老师问孟加拉跟中国什么关系？,会。所以你要加定位句：it is not China-specific attribution evidence。,,,,,,,,,,自发,,低,—,
340,E176,内部批注,写作过程：P3 impacts段,4 产出与分析,定位句：This is not evidence that China caused those cases; it is evidence that planetary sustainability must include the consequences of climate instability.,这句很稳。,,,,,,,,,,自发,,低,—,
